Origin,Destination,Date,Departure,Arrival,Duration,Changes,Single Price,Return Price,Status,direction,link
BTH,BFD,21072019,21:16,00:05,02:49,2,33.5,58.2,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/210719/0700/dep/210719/1830/dep
BFD,CBW,21072019,07:05,10:08,03:03,3,40.8,40.9,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
BFD,CBW,21072019,07:05,10:50,03:45,3,34.5,34.6,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
BFD,CBW,21072019,08:05,11:08,03:03,3,40.8,40.9,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
BFD,CBW,21072019,08:05,11:50,03:45,3,34.5,34.6,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
BFD,CBW,21072019,09:05,12:08,03:03,3,40.8,40.9,7 mins late,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
CBW,BFD,21072019,18:25,21:07,02:42,3,40.8,40.9,disrupted,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
CBW,BFD,21072019,18:43,21:35,02:52,4,40.8,40.9,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
CBW,BFD,21072019,18:43,21:44,03:01,3,34.5,34.6,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
CBW,BFD,21072019,19:25,22:07,02:42,3,40.8,40.9,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
CBW,BFD,21072019,19:39,22:35,02:56,4,40.8,40.9,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/210719/0700/dep/210719/1830/dep
BFD,RYE,21072019,07:05,10:46,03:41,4,44.0,44.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
BFD,RYE,21072019,07:05,10:47,03:42,4,37.9,38.1,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
BFD,RYE,21072019,08:05,11:46,03:41,4,37.9,38.1,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
BFD,RYE,21072019,09:05,12:46,03:41,4,37.9,38.1,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
BFD,RYE,21072019,10:05,13:46,03:41,4,37.9,38.1,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
RYE,BFD,21072019,18:48,21:35,02:47,4,44.0,44.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
RYE,BFD,21072019,18:48,22:35,03:47,3,37.9,38.1,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
RYE,BFD,21072019,19:48,22:35,02:47,4,44.0,44.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
RYE,BFD,21072019,19:48,23:35,03:47,3,37.9,38.1,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
RYE,BFD,21072019,20:48,23:35,02:47,4,44.0,44.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/210719/0700/dep/210719/1830/dep
BFD,DVP,21072019,07:05,10:38,03:33,4,40.1,40.2,disrupted,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
BFD,DVP,21072019,07:05,11:05,04:00,3,40.1,40.2,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
BFD,DVP,21072019,08:05,11:38,03:33,4,40.1,40.2,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
BFD,DVP,21072019,08:05,12:05,04:00,3,40.1,40.2,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
BFD,DVP,21072019,09:05,12:38,03:33,3,40.1,40.2,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
DVP,BFD,21072019,18:33,21:44,03:11,3,40.1,40.2,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
DVP,BFD,21072019,18:49,21:35,02:46,3,46.4,46.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
DVP,BFD,21072019,19:33,22:44,03:11,3,40.1,40.2,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
DVP,BFD,21072019,19:49,22:35,02:46,3,46.4,46.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
DVP,BFD,21072019,20:49,23:35,02:46,3,46.4,46.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/210719/0700/dep/210719/1830/dep
BFD,NRW,21072019,07:05,11:27,04:22,3,61.5,62.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
BFD,NRW,21072019,08:05,12:27,04:22,3,61.5,62.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
