Origin,Destination,Date,Price
BFD,BTH,06-08-2019,34.0
BFD,BTH,07-08-2019,37.5
BFD,BTH,08-08-2019,37.5
BFD,BTH,09-08-2019,34.0
BFD,BTH,10-08-2019,34.0
BFD,BTH,11-08-2019,34.0
BFD,BTH,12-08-2019,31.5
BFD,BTH,13-08-2019,31.5
BFD,BTH,14-08-2019,31.5
BFD,BTH,15-08-2019,31.5
BFD,BTH,16-08-2019,34.0
BFD,BTH,17-08-2019,34.0
BFD,BTH,18-08-2019,37.0
BFD,BTH,19-08-2019,31.5
BFD,BTH,24-08-2019,34.0
BFD,BTH,25-08-2019,37.0
BFD,BTH,26-08-2019,40.0
BFD,BTH,31-08-2019,29.0
BFD,BTH,01-09-2019,29.0
BFD,BTH,07-09-2019,29.0
BFD,BTH,08-09-2019,32.3
BFD,BTH,14-09-2019,29.0
BFD,BTH,15-09-2019,31.5
BFD,BTH,21-09-2019,29.0
BFD,BTH,22-09-2019,29.0
BFD,BTN,17-06-2019,34.4
BFD,BTN,18-06-2019,24.0
BFD,BTN,19-06-2019,24.0
BFD,BTN,20-06-2019,34.4
BFD,BTN,21-06-2019,34.4
BFD,BTN,22-06-2019,24.0
BFD,BTN,23-06-2019,27.9
BFD,BTN,24-06-2019,34.4
BFD,BTN,25-06-2019,34.4
BFD,BTN,26-06-2019,34.4
BFD,BTN,27-06-2019,34.4
BFD,BTN,28-06-2019,34.4
BFD,BTN,29-06-2019,24.0
BFD,BTN,30-06-2019,27.9
BFD,BTN,01-07-2019,34.4
BFD,BTN,02-07-2019,34.4
BFD,BTN,03-07-2019,34.4
BFD,BTN,04-07-2019,34.4
BFD,BTN,05-07-2019,34.4
BFD,BTN,06-07-2019,24.0
BFD,BTN,07-07-2019,27.9
BFD,BTN,08-07-2019,34.4
BFD,BTN,09-07-2019,34.4
BFD,BTN,10-07-2019,34.4
BFD,BTN,11-07-2019,34.4
BFD,BTN,12-07-2019,34.4
BFD,BTN,13-07-2019,27.9
BFD,BTN,14-07-2019,24.0
BFD,BTN,15-07-2019,34.4
BFD,BTN,16-07-2019,34.4
BFD,BTN,17-07-2019,34.4
BFD,BTN,18-07-2019,34.4
BFD,BTN,19-07-2019,34.4
BFD,BTN,20-07-2019,17.0
BFD,BTN,21-07-2019,27.9
BFD,BTN,22-07-2019,34.4
BFD,BTN,23-07-2019,34.4
BFD,BTN,24-07-2019,34.4
BFD,BTN,25-07-2019,34.4
BFD,BTN,26-07-2019,34.4
BFD,BTN,27-07-2019,17.0
BFD,BTN,28-07-2019,20.5
BFD,BTN,29-07-2019,34.4
BFD,BTN,30-07-2019,34.4
BFD,BTN,31-07-2019,34.4
BFD,BTN,01-08-2019,34.4
BFD,BTN,02-08-2019,34.4
BFD,BTN,03-08-2019,27.9
BFD,BTN,04-08-2019,27.9
BFD,BTN,05-08-2019,34.4
BFD,BTN,06-08-2019,34.4
BFD,BTN,07-08-2019,34.4
BFD,BTN,08-08-2019,34.4
BFD,BTN,09-08-2019,34.4
BFD,BTN,10-08-2019,27.9
BFD,BTN,11-08-2019,17.0
BFD,BTN,12-08-2019,34.4
BFD,BTN,13-08-2019,34.4
BFD,BTN,14-08-2019,34.4
BFD,BTN,15-08-2019,34.4
BFD,BTN,16-08-2019,34.4
BFD,BTN,17-08-2019,17.0
BFD,BTN,18-08-2019,27.9
BFD,BTN,19-08-2019,34.4
BFD,BTN,24-08-2019,17.0
BFD,BTN,25-08-2019,17.0
BFD,BTN,26-08-2019,27.9
BFD,BTN,31-08-2019,27.9
BFD,BTN,01-09-2019,27.9
BFD,BTN,07-09-2019,17.0
BFD,BTN,08-09-2019,27.9
BFD,BTN,14-09-2019,27.9
BFD,BTN,15-09-2019,27.9
BFD,CBG,17-06-2019,38.8
BFD,CBG,18-06-2019,30.2
BFD,CBG,19-06-2019,30.2
BFD,CBG,20-06-2019,30.2
BFD,CBG,21-06-2019,30.2
BFD,CBG,22-06-2019,30.2
BFD,CBG,23-06-2019,30.2
BFD,CBG,24-06-2019,38.8
BFD,CBG,25-06-2019,38.8
BFD,CBG,26-06-2019,38.8
BFD,CBG,27-06-2019,38.8
BFD,CBG,28-06-2019,38.8
BFD,CBG,29-06-2019,30.2
BFD,CBG,30-06-2019,30.2
BFD,CBG,01-07-2019,38.8
BFD,CBG,02-07-2019,38.8
BFD,CBG,03-07-2019,38.8
BFD,CBG,04-07-2019,38.8
BFD,CBG,05-07-2019,38.8
BFD,CBG,06-07-2019,30.2
BFD,CBG,07-07-2019,30.2
BFD,CBG,08-07-2019,38.8
BFD,CBG,09-07-2019,38.8
BFD,CBG,10-07-2019,38.8
BFD,CBG,11-07-2019,38.8
BFD,CBG,12-07-2019,38.8
BFD,CBG,13-07-2019,30.2
BFD,CBG,14-07-2019,30.2
BFD,CBG,15-07-2019,38.8
BFD,CBG,16-07-2019,38.8
BFD,CBG,17-07-2019,38.8
BFD,CBG,18-07-2019,38.8
BFD,CBG,19-07-2019,38.8
BFD,CBG,20-07-2019,30.2
BFD,CBG,21-07-2019,30.2
BFD,CBG,22-07-2019,38.8
BFD,CBG,23-07-2019,38.8
BFD,CBG,24-07-2019,38.8
BFD,CBG,25-07-2019,38.8
BFD,CBG,26-07-2019,38.8
BFD,CBG,27-07-2019,30.2
BFD,CBG,28-07-2019,30.2
BFD,CBG,29-07-2019,38.8
BFD,CBG,30-07-2019,38.8
BFD,CBG,31-07-2019,38.8
